                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.1111,                 1.1279,                 1.2507,                0.81097,                0.69487,                0.77447,                0.48925,                 1.2813,                 1.0353,                 1.1966,               0.004852,               0.004852,               0.004852
                    106,                 1.1118,                 1.1291,                 1.2487,                0.81809,                0.69325,                0.77539,                0.48918,                 1.2764,                 1.0399,                 1.1932,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.1219,                 1.1282,                 1.2547,                0.81797,                0.69228,                0.77603,                0.49192,                 1.2705,                 1.0381,                 1.1894,               0.004753,               0.004753,               0.004753
                    108,                 1.0973,                 1.1106,                 1.2424,                0.82065,                0.69375,                0.77481,                0.49197,                   1.27,                 1.0376,                 1.1912,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.1026,                 1.1153,                  1.244,                0.81477,                0.69488,                 0.7743,                0.49236,                 1.2661,                 1.0395,                 1.1877,               0.004654,               0.004654,               0.004654
                    110,                 1.1026,                 1.1012,                 1.2463,                 0.8145,                0.69938,                0.77385,                 0.4949,                 1.2584,                  1.032,                 1.1857,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.0883,                 1.0992,                 1.2399,                0.81175,                0.69693,                0.77408,                 0.4952,                 1.2565,                  1.027,                 1.1851,               0.004555,               0.004555,               0.004555
                    112,                 1.1099,                 1.1116,                 1.2486,                0.80088,                0.70349,                0.77683,                0.50111,                 1.2525,                 1.0218,                 1.1821,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.0991,                 1.1108,                 1.2417,                0.78869,                0.71384,                0.77855,                0.50078,                 1.2553,                 1.0206,                 1.1824,               0.004456,               0.004456,               0.004456
                    114,                 1.0963,                 1.1057,                 1.2382,                0.78901,                0.71737,                0.77905,                0.50237,                 1.2516,                 1.0171,                 1.1795,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.0935,                 1.0912,                 1.2373,                0.80072,                 0.7055,                0.78024,                 0.5011,                  1.256,                 1.0154,                 1.1832,               0.004357,               0.004357,               0.004357
                    116,                 1.0981,                  1.099,                 1.2376,                0.80991,                0.70541,                0.77874,                0.50127,                 1.2533,                 1.0161,                 1.1812,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.0919,                 1.0892,                 1.2392,                0.81164,                0.70352,                0.78089,                0.50293,                 1.2523,                 1.0123,                 1.1807,               0.004258,               0.004258,               0.004258
                    118,                 1.0846,                 1.0877,                 1.2307,                0.80431,                0.71212,                 0.7821,                0.50202,                 1.2558,                 1.0111,                 1.1817,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0866,                 1.0957,                 1.2342,                0.82335,                0.69777,                0.78126,                0.50243,                 1.2569,                 1.0133,                 1.1832,               0.004159,               0.004159,               0.004159
                    120,                 1.0816,                 1.0741,                 1.2285,                0.80892,                 0.7072,                0.78326,                0.50161,                 1.2529,                 1.0105,                 1.1795,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0724,                 1.0727,                 1.2239,                0.81223,                0.71226,                0.78384,                0.50193,                 1.2522,                 1.0074,                 1.1778,                0.00406,                0.00406,                0.00406
                    122,                 1.0773,                 1.0896,                 1.2266,                0.81616,                0.70903,                0.78407,                0.50112,                 1.2551,                 1.0049,                  1.181,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0745,                 1.0818,                 1.2271,                0.81567,                0.70719,                0.78307,                0.50223,                  1.255,                 1.0052,                 1.1802,               0.003961,               0.003961,               0.003961
                    124,                 1.0773,                 1.0702,                 1.2236,                0.81061,                0.71555,                  0.784,                0.50373,                 1.2542,                 1.0024,                 1.1784,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0823,                 1.0766,                 1.2335,                0.81128,                0.71813,                 0.7844,                0.50433,                 1.2557,                 1.0009,                 1.1798,               0.003862,               0.003862,               0.003862
                    126,                 1.0775,                 1.0735,                 1.2287,                0.81653,                0.71231,                0.78574,                0.50582,                 1.2499,                 1.0034,                 1.1762,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0742,                 1.0679,                 1.2273,                0.79988,                0.72184,                0.78616,                0.50534,                 1.2522,                 1.0056,                 1.1785,               0.003763,               0.003763,               0.003763
                    128,                 1.0686,                 1.0726,                  1.224,                0.79689,                0.72257,                0.78543,                0.50588,                 1.2524,                 1.0053,                 1.1774,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.0703,                 1.0741,                  1.228,                0.81372,                0.70884,                0.78545,                0.50539,                 1.2525,                 1.0062,                 1.1766,               0.003664,               0.003664,               0.003664
                    130,                 1.0664,                  1.058,                  1.222,                0.81851,                0.71043,                0.78506,                0.50668,                 1.2503,                  1.003,                  1.176,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.0605,                 1.0568,                 1.2179,                0.82349,                0.71209,                0.78643,                0.50604,                  1.251,                 1.0005,                 1.1776,               0.003565,               0.003565,               0.003565
                    132,                 1.0675,                 1.0527,                 1.2203,                0.81963,                  0.715,                 0.7876,                0.50696,                 1.2489,                0.99734,                 1.1759,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.0631,                 1.0559,                 1.2169,                0.82905,                0.71009,                0.78831,                0.50792,                 1.2488,                0.99613,                 1.1764,               0.003466,               0.003466,               0.003466
                    134,                 1.0591,                 1.0593,                 1.2167,                 0.8327,                0.70669,                0.78819,                0.50747,                 1.2486,                0.99574,                 1.1757,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.0581,                  1.054,                 1.2202,                0.82863,                0.70875,                0.78796,                0.50764,                 1.2495,                0.99479,                 1.1773,               0.003367,               0.003367,               0.003367
                    136,                 1.0559,                 1.0371,                 1.2104,                0.82149,                0.71872,                0.78861,                0.50796,                 1.2483,                0.99389,                 1.1768,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.0575,                 1.0334,                 1.2081,                0.81759,                0.72044,                0.78883,                0.50908,                 1.2471,                0.99331,                 1.1758,               0.003268,               0.003268,               0.003268
                    138,                 1.0556,                 1.0457,                 1.2129,                0.81061,                 0.7233,                0.78786,                0.51057,                 1.2474,                0.99108,                 1.1754,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.0408,                 1.0387,                 1.2084,                0.81284,                0.72416,                 0.7893,                0.51152,                 1.2465,                 0.9901,                 1.1741,               0.003169,               0.003169,               0.003169
                    140,                  1.041,                 1.0347,                 1.2038,                0.81182,                0.72561,                0.78854,                 0.5112,                 1.2479,                 0.9902,                  1.174,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0419,                 1.0331,                 1.2073,                0.81255,                0.72575,                0.78983,                  0.511,                 1.2478,                0.99004,                 1.1732,                0.00307,                0.00307,                0.00307
                    142,                 1.0478,                 1.0263,                 1.2088,                  0.815,                0.72446,                0.78993,                0.51113,                 1.2482,                0.98867,                 1.1732,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0456,                  1.026,                 1.2101,                0.81608,                0.72354,                0.78983,                0.51185,                 1.2469,                0.98701,                 1.1716,               0.002971,               0.002971,               0.002971
                    144,                 1.0472,                 1.0262,                 1.2085,                0.81601,                0.72458,                 0.7903,                0.51163,                 1.2468,                0.98685,                 1.1715,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.0389,                 1.0175,                 1.2018,                0.81747,                0.72503,                0.79054,                0.51249,                 1.2452,                0.98598,                 1.1703,               0.002872,               0.002872,               0.002872
